POLITICIAN,CATEGORY,TOPIC
barack_obama,economic_policy,overview
barack_obama,energy_policy,overview
barack_obama,law_enforcement_and_security_policy,overview
barack_obama,foreign_policy,overview
barack_obama,social_policy,overview
barack_obama,federal_emergency_management_disaster_relief,overview
bob_barr,economic_policy,monetary_policy
bob_barr,economic_policy,social_security
bob_barr,economic_policy,taxation
bob_barr,education,overview
bob_barr,foreign_policy,foreign_aid
bob_barr,foreign_policy,trade
bob_barr,foreign_policy,united_nations
bob_barr,foreign_policy,war_in_iraq
bob_barr,foreign_policy,iran
bob_barr,environmental_policy,overview
bob_barr,civil_liberties,gun_ownership_rights
bob_barr,civil_liberties,marriage
bob_barr,civil_liberties,privacy
bob_barr,borders_and_immigration,overview
bob_barr,health_policy,overview
cynthia_mckinney,economic_policy,defense_spending
cynthia_mckinney,economic_policy,tax_reform
cynthia_mckinney,economic_policy,network_neutrality
cynthia_mckinney,economic_policy,health_care
cynthia_mckinney,economic_policy,financial_crisis_bailout
cynthia_mckinney,economic_policy,technology
cynthia_mckinney,economic_policy,free_trade
cynthia_mckinney,energy_and_environmental_policy,alternative_energy_sources
cynthia_mckinney,energy_and_environmental_policy,everglades
cynthia_mckinney,energy_and_environmental_policy,anwr
cynthia_mckinney,energy_and_environmental_policy,energy_dependence
cynthia_mckinney,foreign_policy,kosovo
cynthia_mckinney,foreign_policy,pakistan
cynthia_mckinney,foreign_policy,czech_republic
cynthia_mckinney,foreign_policy,nuclear_weapons
cynthia_mckinney,foreign_policy,israel_and_palestine
cynthia_mckinney,foreign_policy,iraq_war
cynthia_mckinney,foreign_policy,cuba
cynthia_mckinney,social_policy,affirmative_action
cynthia_mckinney,social_policy,immigration
cynthia_mckinney,social_policy,abortion
cynthia_mckinney,social_policy,education
cynthia_mckinney,social_policy,crime
cynthia_mckinney,social_policy,lgbt_rights
cynthia_mckinney,social_policy,gun_control
gary_johnson,economic_policy,environment
gary_johnson,economic_policy,federal_reserve
gary_johnson,economic_policy,health_care
gary_johnson,economic_policy,budget_deficits
gary_johnson,economic_policy,employment
gary_johnson,economic_policy,labor_unions
gary_johnson,economic_policy,free_trade
gary_johnson,economic_policy,social_security_and_medicare
gary_johnson,economic_policy,freemarket_capitalism
gary_johnson,economic_policy,energy
gary_johnson,social_policy,overview
